Agent 0 | Tick: 0 - ['d', 'd', 'r', 'r', 'd', 'd', 'r', 'r', 'p']
Agent 1 | Tick: 0 - ['d', 'd', 'p']
Agent 1 | Tick: 1 - ['r', 'd', 'd', 'l', 'l', 'p']
Agent 0 | Tick: 1 - ['l', 'l', 'u', 'p']
Agent 1 | Tick: 2 - ['r', 'r', 'u', 'u', 'r', 'r', 'u', 'p']
Agent 0 | Tick: 2 - ['d', 'r', 'p']
Agent 0 | Tick: 3 - ['l', 'l']
Agent 1 | Tick: 3 - ['d', 'l', 'l', 'd', 'p']
Agent 0 | Tick: 4 - ['d', 'l']
Agent 0 | Tick: 5 - ['']
Agent 0 | Tick: 6 - ['']
Agent 0 | Tick: 7 - ['']
Agent 1 | Tick: 4 - ['d', 'r', 'd', 'r']
Agent 0 | Tick: 8 - ['']
Agent 0 | Tick: 9 - ['u', 'l', 'u']
Agent 1 | Tick: 5 - ['u', 'r']
Agent 0 | Tick: 10 - ['r', 'd']
Agent 1 | Tick: 6 - ['l', 'l']
Agent 0 | Tick: 11 - ['d', 'r', 'r']
Agent 1 | Tick: 7 - ['l']
Agent 1 | Tick: 8 - ['d', 'r']
Agent 0 | Tick: 12 - ['l', 'u']
Agent 1 | Tick: 9 - ['u']
Agent 0 | Tick: 13 - ['l']
Agent 1 | Tick: 10 - ['r']
Agent 0 | Tick: 14 - ['l']
Agent 1 | Tick: 11 - ['r']
Agent 0 | Tick: 15 - ['r']
Agent 1 | Tick: 12 - ['l']
Agent 0 | Tick: 16 - ['r', 'r']
Agent 1 | Tick: 13 - ['l', 'l']
Agent 0 | Tick: 17 - ['d']
Agent 1 | Tick: 14 - ['']
Agent 0 | Tick: 18 - ['d', 'l']
Agent 1 | Tick: 15 - ['u']
Agent 1 | Tick: 16 - ['u']
Agent 0 | Tick: 19 - ['l']
Agent 1 | Tick: 17 - ['']
Agent 0 | Tick: 20 - ['']
Agent 1 | Tick: 18 - ['']
Agent 0 | Tick: 21 - ['']
Agent 1 | Tick: 19 - ['d', 'd', 'l', 'l', 'l', 'l']
Agent 0 | Tick: 22 - ['']
Agent 0 | Tick: 23 - ['']
Agent 0 | Tick: 24 - ['']
Agent 0 | Tick: 25 - ['']
Agent 0 | Tick: 26 - ['']
Agent 1 | Tick: 20 - ['l']
Agent 0 | Tick: 27 - ['']
Agent 0 | Tick: 28 - ['u', 'r', 'u', 'u', 'l', 'u', 'l', 'u', 'l', 'l', 'd']
Agent 1 | Tick: 21 - ['r', 'r', 'd', 'p']
Agent 1 | Tick: 22 - ['u', 'l', 'u', 'u', 'u', 'p']
Agent 1 | Tick: 23 - ['r', 'r']
Agent 0 | Tick: 29 - ['l']
Agent 0 | Tick: 30 - ['u', 'r', 'r', 'd']
Agent 1 | Tick: 24 - ['r']
Agent 1 | Tick: 25 - ['d', 'r']
Agent 1 | Tick: 26 - ['u']
Agent 1 | Tick: 27 - ['l']
Agent 0 | Tick: 31 - ['d']
Agent 0 | Tick: 32 - ['u', 'l', 'l', 'd']
Agent 1 | Tick: 28 - ['r', 'r']
Agent 1 | Tick: 29 - ['l']
Agent 1 | Tick: 30 - ['r']
Agent 0 | Tick: 33 - ['d']
Agent 1 | Tick: 31 - ['r']
Agent 0 | Tick: 34 - ['u', 'r', 'r', 'd']
Agent 1 | Tick: 32 - ['']
Agent 1 | Tick: 33 - ['']
Agent 1 | Tick: 34 - ['']
Agent 1 | Tick: 35 - ['']
Agent 0 | Tick: 35 - ['l', 'u', 'l']
Agent 1 | Tick: 36 - ['']
Agent 1 | Tick: 37 - ['l', 'l', 'd', 'l']
Agent 0 | Tick: 36 - ['l', 'u', 'l']
Agent 1 | Tick: 38 - ['l']
Agent 0 | Tick: 37 - ['r', 'r', 'r', 'r', 'r', 'r']
Agent 1 | Tick: 39 - ['r', 'd', 'r', 'r', 'u', 'r', 'u', 'u', 'r', 'r', 'd', 'r', 'd', 'p']
Agent 0 | Tick: 38 - ['u', 'u', 'u']
Agent 0 | Tick: 39 - ['l', 'u', 'u']
Agent 0 | Tick: 40 - ['d', 'r', 'r']
Agent 1 | Tick: 40 - ['l', 'd', 'l', 'l', 'u', 'p']
Agent 0 | Tick: 41 - ['r']
Agent 0 | Tick: 42 - ['d', 'r', 'p']
Agent 0 | Tick: 43 - ['l', 'u', 'l', 'l', 'l', 'u', 'u', 'r', 'u', 'r', 'r', 'd', 'r', 'd', 'p']
Agent 1 | Tick: 41 - ['d', 'l', 'l', 'l', 'l']
Agent 1 | Tick: 42 - ['l']
Agent 1 | Tick: 43 - ['r', 'd', 'd', 'r', 'd', 'd', 'r', 'p']
Agent 1 | Tick: 44 - ['l', 'u', 'u', 'u', 'r', 'u', 'u', 'r', 'p']
Agent 0 | Tick: 44 - ['u', 'l', 'u', 'l', 'l', 'd', 'l', 'd', 'd', 'r', 'r', 'r', 'p']
Agent 1 | Tick: 45 - ['d', 'd', 'r', 'r', 'd', 'r', 'd', 'd', 'l', 'l', 'u']
Agent 0 | Tick: 45 - ['d', 'd', 'l', 'p']
Agent 0 | Tick: 46 - ['d', 'd', 'd', 'r']
Agent 1 | Tick: 46 - ['u']
Agent 0 | Tick: 47 - ['r']
Agent 1 | Tick: 47 - ['d', 'r', 'r', 'u', 'u', 'u', 'p']
Agent 0 | Tick: 48 - ['u', 'u', 'u', 'l', 'p']
Agent 0 | Tick: 49 - ['r', 'u', 'p']
Agent 1 | Tick: 48 - ['u', 'r', 'p']
Agent 0 | Tick: 50 - ['r', 'r']
Agent 1 | Tick: 49 - ['u']
Agent 1 | Tick: 50 - ['u']
Agent 0 | Tick: 51 - ['r']
Agent 1 | Tick: 51 - ['l', 'u', 'l', 'l', 'l', 'l', 'u', 'u', 'r']
Agent 0 | Tick: 52 - ['']
Agent 0 | Tick: 53 - ['']
Agent 0 | Tick: 54 - ['']
Agent 0 | Tick: 55 - ['']
Agent 0 | Tick: 56 - ['']
Agent 0 | Tick: 57 - ['']
Agent 0 | Tick: 58 - ['']
Agent 0 | Tick: 59 - ['']
Agent 0 | Tick: 60 - ['']
Agent 1 | Tick: 52 - ['r']
Agent 0 | Tick: 61 - ['l', 'l', 'd', 'd', 'l', 'l', 'u', 'l', 'u', 'u', 'l', 'l', 'l']
Agent 1 | Tick: 53 - ['l', 'd', 'd', 'r', 'r', 'r', 'u', 'r', 'r', 'r', 'd', 'r']
Agent 0 | Tick: 62 - ['d', 'l', 'l', 'd', 'd', 'd']
Agent 1 | Tick: 54 - ['']
Agent 1 | Tick: 55 - ['']
Agent 1 | Tick: 56 - ['']
Agent 1 | Tick: 57 - ['']
Agent 1 | Tick: 58 - ['']
Agent 1 | Tick: 59 - ['']
Agent 0 | Tick: 63 - ['r', 'd', 'd']
Agent 1 | Tick: 60 - ['']
Agent 1 | Tick: 61 - ['']
Agent 1 | Tick: 62 - ['']
Agent 0 | Tick: 64 - ['d']
Agent 1 | Tick: 63 - ['']
Agent 0 | Tick: 65 - ['u', 'u', 'u', 'u', 'l', 'u', 'u', 'u', 'p']
Agent 1 | Tick: 64 - ['']
Agent 1 | Tick: 65 - ['']
Agent 1 | Tick: 66 - ['']
Agent 1 | Tick: 67 - ['']
Agent 1 | Tick: 68 - ['']
Agent 1 | Tick: 69 - ['u', 'l', 'l', 'l']
Agent 1 | Tick: 70 - ['l', 'd', 'd', 'd', 'd', 'd', 'l']
Agent 0 | Tick: 66 - ['u', 'p']
Agent 0 | Tick: 67 - ['r']
Agent 0 | Tick: 68 - ['r']
Agent 0 | Tick: 69 - ['']
Agent 0 | Tick: 70 - ['']
Agent 0 | Tick: 71 - ['']
Agent 0 | Tick: 72 - ['']
Agent 1 | Tick: 71 - ['u', 'l', 'l', 'l', 'l', 'd', 'l', 'p']
Agent 0 | Tick: 73 - ['']
Agent 0 | Tick: 74 - ['d', 'r', 'r', 'r', 'u', 'u']
Agent 0 | Tick: 75 - ['d', 'd', 'd', 'l']
Agent 1 | Tick: 72 - ['u', 'u', 'r', 'p']
Agent 1 | Tick: 73 - ['r', 'u', 'u', 'l', 'p']
Agent 0 | Tick: 76 - ['d', 'd', 'd', 'r', 'd', 'd', 'l', 'l', 'u', 'p']
Agent 1 | Tick: 74 - ['u']
Agent 1 | Tick: 75 - ['r', 'd']
Agent 1 | Tick: 76 - ['l', 'l', 'l', 'u']
Agent 0 | Tick: 77 - ['l', 'l', 'l', 'l', 'd', 'd', 'p']
Agent 1 | Tick: 77 - ['d']
Agent 1 | Tick: 78 - ['l', 'l', 'l', 'u']
Agent 0 | Tick: 78 - ['u', 'u', 'r', 'r', 'r', 'u', 'r', 'r', 'd', 'd', 'd', 'd', 'l', 'l', 'u', 'p']
Agent 1 | Tick: 79 - ['u', 'u', 'l', 'l', 'l']
Agent 1 | Tick: 80 - ['l']
Agent 1 | Tick: 81 - ['d', 'd', 'd', 'd', 'p']
Agent 1 | Tick: 82 - ['u']
Agent 1 | Tick: 83 - ['u', 'u', 'u']
Agent 1 | Tick: 84 - ['d', 'd', 'r', 'r', 'r', 'd', 'r', 'r']
Agent 0 | Tick: 79 - ['d', 'r', 'r', 'u', 'u', 'u', 'u', 'l', 'l', 'u', 'l', 'l', 'l', 'l']
Agent 1 | Tick: 85 - ['r']
Agent 1 | Tick: 86 - ['u']
Agent 1 | Tick: 87 - ['u']
Agent 1 | Tick: 88 - ['u']
Agent 1 | Tick: 89 - ['u']
Agent 1 | Tick: 90 - ['d']
Agent 1 | Tick: 91 - ['d', 'd', 'l', 'l', 'l', 'u', 'u', 'r']
Agent 0 | Tick: 80 - ['r', 'r']
Agent 0 | Tick: 81 - ['d', 'r']
Agent 0 | Tick: 82 - ['d', 'r', 'r', 'r', 'd']
Agent 1 | Tick: 92 - ['']
Agent 1 | Tick: 93 - ['']
Agent 0 | Tick: 83 - ['d', 'l']
Agent 1 | Tick: 94 - ['']
Agent 1 | Tick: 95 - ['']
Agent 0 | Tick: 84 - ['u', 'l']
Agent 1 | Tick: 96 - ['']
Agent 1 | Tick: 97 - ['']
Agent 0 | Tick: 85 - ['l']
Agent 1 | Tick: 98 - ['']
Agent 0 | Tick: 86 - ['r', 'd', 'd', 'l', 'l', 'u', 'p']
Agent 1 | Tick: 99 - ['d', 'r', 'r', 'r']
Agent 1 | Tick: 100 - ['d', 'd', 'r', 'r']
Agent 0 | Tick: 87 - ['d', 'r', 'r', 'u', 'u', 'l', 'u', 'l', 'l', 'l', 'l', 'd', 'd', 'd', 'd', 'l', 'p']
Agent 1 | Tick: 101 - ['']
Agent 1 | Tick: 102 - ['d', 'd', 'd', 'r']
Agent 1 | Tick: 103 - ['r']
Agent 1 | Tick: 104 - ['d', 'r', 'p']
Agent 1 | Tick: 105 - ['r', 'd', 'p']
Agent 1 | Tick: 106 - ['']
Agent 1 | Tick: 107 - ['']
Agent 1 | Tick: 108 - ['']
Agent 1 | Tick: 109 - ['']
Agent 1 | Tick: 110 - ['']
Agent 0 | Tick: 88 - ['r', 'u', 'u', 'u', 'u', 'u', 'u', 'u', 'r', 'r', 'p']
Agent 1 | Tick: 111 - ['']
Agent 1 | Tick: 112 - ['']
Agent 1 | Tick: 113 - ['']
Agent 1 | Tick: 114 - ['']
Agent 1 | Tick: 115 - ['']
Agent 1 | Tick: 116 - ['']
Agent 1 | Tick: 117 - ['']
Agent 1 | Tick: 118 - ['']
Agent 1 | Tick: 119 - ['']
Agent 1 | Tick: 120 - ['']
Agent 1 | Tick: 121 - ['']
Agent 0 | Tick: 89 - ['d', 'd']
Agent 1 | Tick: 122 - ['']
Agent 1 | Tick: 123 - ['']
Agent 0 | Tick: 90 - ['d']
Agent 1 | Tick: 124 - ['']
Agent 0 | Tick: 91 - ['u', 'u', 'p']
Agent 1 | Tick: 125 - ['']
Agent 1 | Tick: 126 - ['']
Agent 1 | Tick: 127 - ['']
Agent 0 | Tick: 92 - ['u', 'p']
Agent 1 | Tick: 128 - ['']
Agent 1 | Tick: 129 - ['']
Agent 0 | Tick: 93 - ['r']
Agent 1 | Tick: 130 - ['']
Agent 0 | Tick: 94 - ['r']
Agent 1 | Tick: 131 - ['']
Agent 0 | Tick: 95 - ['l', 'l', 'u', 'u', 'l']
Agent 1 | Tick: 132 - ['']
Agent 1 | Tick: 133 - ['']
Agent 1 | Tick: 134 - ['']
Agent 1 | Tick: 135 - ['']
Agent 1 | Tick: 136 - ['']
Agent 0 | Tick: 96 - ['r']
Agent 1 | Tick: 137 - ['']
Agent 0 | Tick: 97 - ['u', 'u', 'l']
Agent 1 | Tick: 138 - ['']
Agent 1 | Tick: 139 - ['']
Agent 0 | Tick: 98 - ['r']
Agent 1 | Tick: 140 - ['']
Agent 0 | Tick: 99 - ['u', 'u', 'l']
Agent 1 | Tick: 141 - ['']
Agent 1 | Tick: 142 - ['']
Agent 1 | Tick: 143 - ['']
Agent 1 | Tick: 144 - ['']
Agent 0 | Tick: 100 - ['r']
Agent 0 | Tick: 101 - ['u', 'u', 'l']
Agent 1 | Tick: 145 - ['']
Agent 1 | Tick: 146 - ['']
Agent 1 | Tick: 147 - ['']
Agent 1 | Tick: 148 - ['']
Agent 0 | Tick: 102 - ['r']
Agent 0 | Tick: 103 - ['u', 'u', 'l']
Agent 1 | Tick: 149 - ['']
Agent 1 | Tick: 150 - ['']
Agent 1 | Tick: 151 - ['']
Agent 1 | Tick: 152 - ['']
Agent 0 | Tick: 104 - ['r']
Agent 0 | Tick: 105 - ['u', 'u', 'l']
Agent 1 | Tick: 153 - ['']
Agent 1 | Tick: 154 - ['']
Agent 1 | Tick: 155 - ['']
Agent 1 | Tick: 156 - ['']
Agent 0 | Tick: 106 - ['r']
Agent 0 | Tick: 107 - ['u', 'u', 'l']
Agent 1 | Tick: 157 - ['']
Agent 1 | Tick: 158 - ['']
Agent 1 | Tick: 159 - ['']
Agent 0 | Tick: 108 - ['r']
Agent 1 | Tick: 160 - ['']
Agent 0 | Tick: 109 - ['u', 'u', 'l']
Agent 1 | Tick: 161 - ['']
Agent 1 | Tick: 162 - ['']
Agent 1 | Tick: 163 - ['']
Agent 0 | Tick: 110 - ['u', 'l', 'l']
Agent 1 | Tick: 164 - ['']
Agent 1 | Tick: 165 - ['u', 'l', 'l', 'u', 'u', 'l', 'l', 'l']
Agent 0 | Tick: 111 - ['']
Agent 0 | Tick: 112 - ['']
Agent 0 | Tick: 113 - ['']
Agent 0 | Tick: 114 - ['']
Agent 0 | Tick: 115 - ['']
Agent 0 | Tick: 116 - ['']
Agent 1 | Tick: 166 - ['u', 'u', 'u', 'u', 'u', 'r', 'r']
Agent 0 | Tick: 117 - ['']
Agent 0 | Tick: 118 - ['']
Agent 0 | Tick: 119 - ['']
Agent 0 | Tick: 120 - ['']
Agent 0 | Tick: 121 - ['']
Agent 0 | Tick: 122 - ['']
Agent 0 | Tick: 123 - ['d', 'd', 'd', 'd', 'd', 'd', 'd', 'r', 'd', 'r', 'p']
Agent 1 | Tick: 167 - ['d', 'd', 'd', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'p']
Agent 0 | Tick: 124 - ['l', 'u', 'u', 'u', 'r', 'r', 'r', 'r', 'd', 'r', 'd', 'd', 'r', 'r', 'r', 'p']
Agent 1 | Tick: 168 - ['d', 'd', 'd', 'd', 'd', 'l', 'd', 'd', 'r', 'p']
Agent 1 | Tick: 169 - ['r', 'd', 'p']
Agent 1 | Tick: 170 - ['u', 'u']
Agent 1 | Tick: 171 - ['']
Agent 0 | Tick: 125 - ['d']
Agent 1 | Tick: 172 - ['']
Agent 1 | Tick: 173 - ['']
Agent 0 | Tick: 126 - ['d']
Agent 0 | Tick: 127 - ['u', 'u', 'u', 'u', 'u', 'l', 'u', 'l', 'u', 'l', 'l', 'l']
Agent 1 | Tick: 174 - ['']
Agent 1 | Tick: 175 - ['']
Agent 1 | Tick: 176 - ['']
Agent 1 | Tick: 177 - ['']
Agent 1 | Tick: 178 - ['']
Agent 1 | Tick: 179 - ['']
Agent 1 | Tick: 180 - ['']
Agent 1 | Tick: 181 - ['']
Agent 1 | Tick: 182 - ['']
Agent 1 | Tick: 183 - ['']
Agent 1 | Tick: 184 - ['']
Agent 1 | Tick: 185 - ['']
Agent 0 | Tick: 128 - ['l']
Agent 1 | Tick: 186 - ['']
Agent 0 | Tick: 129 - ['d', 'l', 'l', 'l', 'l']
Agent 1 | Tick: 187 - ['']
Agent 1 | Tick: 188 - ['']
Agent 1 | Tick: 189 - ['']
Agent 1 | Tick: 190 - ['']
Agent 1 | Tick: 191 - ['']
Agent 0 | Tick: 130 - ['d', 'd', 'r', 'd', 'd', 'r', 'd', 'r', 'p']
Agent 1 | Tick: 192 - ['']
Agent 1 | Tick: 193 - ['']
Agent 1 | Tick: 194 - ['']
Agent 1 | Tick: 195 - ['']
Agent 1 | Tick: 196 - ['']
Agent 1 | Tick: 197 - ['']
Agent 1 | Tick: 198 - ['']
Agent 1 | Tick: 199 - ['']
Agent 1 | Tick: 200 - ['']
Agent 0 | Tick: 131 - ['d', 'r', 'p']
Agent 1 | Tick: 201 - ['d', 'l', 'l', 'u', 'u', 'r']
Agent 0 | Tick: 132 - ['l', 'l', 'u', 'u', 'u', 'u', 'u', 'u', 'u']
Agent 1 | Tick: 202 - ['u', 'r', 'r']
Agent 1 | Tick: 203 - ['u', 'l', 'u', 'u', 'p']
Agent 0 | Tick: 133 - ['u']
Agent 0 | Tick: 134 - ['d', 'd', 'd', 'd', 'd', 'd', 'd', 'r', 'r', 'p']
Agent 1 | Tick: 204 - ['']
Agent 1 | Tick: 205 - ['u', 'l']
Agent 1 | Tick: 206 - ['l']
Agent 1 | Tick: 207 - ['l', 'l', 'd', 'l', 'l', 'l', 'l', 'l']
Agent 0 | Tick: 135 - ['d']
Agent 0 | Tick: 136 - ['d', 'l']
Agent 0 | Tick: 137 - ['l']
Agent 0 | Tick: 138 - ['l', 'u']
Agent 1 | Tick: 208 - ['d', 'l', 'l']
Agent 0 | Tick: 139 - ['u']
Agent 0 | Tick: 140 - ['d', 'r', 'r', 'r', 'r', 'p']
Agent 1 | Tick: 209 - ['']
Agent 1 | Tick: 210 - ['']
Agent 1 | Tick: 211 - ['']
Agent 1 | Tick: 212 - ['']
Agent 1 | Tick: 213 - ['']
Agent 1 | Tick: 214 - ['']
Agent 1 | Tick: 215 - ['u', 'r']
Agent 0 | Tick: 141 - ['']
Agent 0 | Tick: 142 - ['u', 'r', 'r', 'd']
Agent 1 | Tick: 216 - ['r']
Agent 1 | Tick: 217 - ['r', 'r', 'r', 'r', 'r']
Agent 0 | Tick: 143 - ['']
Agent 0 | Tick: 144 - ['']
Agent 0 | Tick: 145 - ['']
Agent 1 | Tick: 218 - ['d', 'd', 'd', 'd', 'r', 'd', 'd', 'l', 'p']
Agent 0 | Tick: 146 - ['u', 'r', 'u', 'u', 'l']
Agent 0 | Tick: 147 - ['d', 'd', 'd']
Agent 0 | Tick: 148 - ['u']
Agent 1 | Tick: 219 - ['u', 'u', 'u', 'r', 'r', 'r', 'u', 'u', 'p']
Agent 0 | Tick: 149 - ['u', 'u']
Agent 0 | Tick: 150 - ['u']
Agent 0 | Tick: 151 - ['u']
Agent 0 | Tick: 152 - ['u']
Agent 0 | Tick: 153 - ['r']
Agent 0 | Tick: 154 - ['d', 'r', 'r', 'u', 'r']
Agent 1 | Tick: 220 - ['d', 'd', 'l', 'l', 'u', 'l', 'u', 'p']
Agent 0 | Tick: 155 - ['r']
Agent 0 | Tick: 156 - ['r']
Agent 0 | Tick: 157 - ['r']
Agent 0 | Tick: 158 - ['l', 'l', 'l']
Agent 0 | Tick: 159 - ['']
Agent 1 | Tick: 221 - ['u', 'l']
Agent 0 | Tick: 160 - ['']
Agent 0 | Tick: 161 - ['r', 'r']
Agent 1 | Tick: 222 - ['r']
Agent 1 | Tick: 223 - ['r', 'r', 'p']
Agent 0 | Tick: 162 - ['r']
Agent 0 | Tick: 163 - ['r']
Agent 1 | Tick: 224 - ['u', 'r', 'p']
Agent 0 | Tick: 164 - ['l', 'l', 'l', 'd', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'r', 'r']
Agent 1 | Tick: 225 - ['l']
Agent 1 | Tick: 226 - ['l']
Agent 1 | Tick: 227 - ['d', 'l', 'l', 'd', 'd', 'r', 'r']
Agent 1 | Tick: 228 - ['r']
